n,r2,rmse,mae,spearman,experiment,model,outcome,feature_set,fold,n_train,n_test,z_dim,train_edges,test_edges,n_outputs,holdout_country
854,0.6219194343695111,2.2417820543746108,1.742528386414051,0.7773066022756911,spatial_cv,ssl_frozen_z_ridge,dhs_women_edu,ssl_full_z,4.0,3412,854,256.0,,,,
838,0.15164713130937357,0.21093663280928013,0.1636807572081027,0.38355243210168577,spatial_cv,ssl_frozen_z_ridge,dhs_stunting,ssl_full_z,4.0,3381,838,256.0,,,,
854,0.3831371294454916,0.11109077518087919,0.0796083783168145,0.6418256391449586,spatial_cv,ssl_frozen_z_ridge,dhs_mobile,ssl_full_z,4.0,3412,854,256.0,,,,
852,0.5968791291524194,0.5221669336690724,0.4000383321805104,0.7771847373469545,spatial_cv,graphsage_singletask,dhs_wealth,ae_only,0.0,2753,852,,2014288.0,653072.0,1.0,
836,0.5891569132951309,0.4918385459901815,0.3689645960229075,0.768568804665711,spatial_cv,graphsage_singletask,dhs_wealth,ae_only,1.0,2684,836,,1984694.0,592668.0,1.0,
861,0.6557958140467831,0.48244430780944986,0.3667031639076363,0.8215845132451371,spatial_cv,graphsage_singletask,dhs_wealth,ae_only,2.0,2881,861,,2061406.0,633756.0,1.0,
863,0.6731814068788513,0.47477618131987087,0.3672949092671478,0.82308123532334,spatial_cv,graphsage_singletask,dhs_wealth,ae_only,3.0,2893,863,,1978522.0,639076.0,1.0,
854,0.6942850476418156,0.5138928361984322,0.3970732045459694,0.8253297803538693,spatial_cv,graphsage_singletask,dhs_wealth,ae_only,4.0,2867,854,,2061556.0,630822.0,1.0,
852,0.3619844966033373,0.2597270070079445,0.21098154432144664,0.6072472973726698,spatial_cv,graphsage_singletask,dhs_sanitation,ae_only,0.0,2753,852,,2014288.0,653072.0,1.0,
836,0.36161819812872875,0.26754517802989336,0.21398837512813546,0.6201457377604974,spatial_cv,graphsage_singletask,dhs_sanitation,ae_only,1.0,2684,836,,1984694.0,592668.0,1.0,
861,0.4557178795518366,0.24964556211655595,0.19526477827410388,0.6907457740136892,spatial_cv,graphsage_singletask,dhs_sanitation,ae_only,2.0,2881,861,,2061406.0,633756.0,1.0,
863,0.41884100143433567,0.2607534145964202,0.20540707077084244,0.6575363279112162,spatial_cv,graphsage_singletask,dhs_sanitation,ae_only,3.0,2893,863,,1978522.0,639076.0,1.0,
854,0.48086266775464337,0.2577270140110553,0.20005411504652237,0.7171306241057208,spatial_cv,graphsage_singletask,dhs_sanitation,ae_only,4.0,2867,854,,2061556.0,630822.0,1.0,
852,0.6693542324597028,1.983701901207512,1.5182359764885875,0.8141655587213208,spatial_cv,graphsage_singletask,dhs_women_edu,ae_only,0.0,2753,852,,2014288.0,653072.0,1.0,
836,0.7056623256035712,1.905441259829083,1.4571583767167546,0.8183341010223072,spatial_cv,graphsage_singletask,dhs_women_edu,ae_only,1.0,2684,836,,1984694.0,592668.0,1.0,
861,0.5859582064054544,2.230810768138656,1.6841092982419208,0.7858527215122493,spatial_cv,graphsage_singletask,dhs_women_edu,ae_only,2.0,2881,861,,2061406.0,633756.0,1.0,
863,0.6823829956299325,2.102944377264275,1.6312347822245274,0.8105238613420392,spatial_cv,graphsage_singletask,dhs_women_edu,ae_only,3.0,2893,863,,1978522.0,639076.0,1.0,
